id,createdAt,updatedAt,amount,currency,categoryId,description,isExpense,userId
38,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,EUR,3,Concert tickets,true,2
39,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,40,USD,4,Clothing,true,2
40,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,25,EUR,5,Books,true,2
41,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,USD,1,Lunch at a restaurant,true,1
42,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,USD,2,Groceries,true,1
43,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,EUR,3,Taxi ride,true,1
44,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,45,USD,4,Movie tickets,true,2
45,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,EUR,5,Concert tickets,true,2
46,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,USD,1,Clothing,true,2
47,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,EUR,2,Books,true,2
48,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,USD,3,Lunch at a restaurant,true,1
49,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,EUR,1,Groceries,true,1
50,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,USD,2,Taxi ride,true,1
51,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,25,EUR,3,Movie tickets,true,2
52,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,40,USD,4,Concert tickets,true,2
53,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,EUR,5,Clothing,true,2
54,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,USD,2,Books,true,2
55,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,50,EUR,1,Lunch at a restaurant,true,1
56,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,USD,1,Groceries,true,1
57,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,EUR,2,Taxi ride,true,1
58,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,USD,3,Movie tickets,true,2
59,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,EUR,3,Concert tickets,true,2
60,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,40,USD,4,Clothing,true,2
61,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,25,EUR,5,Books,true,2
62,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,USD,1,Lunch at a restaurant,true,1
63,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,USD,2,Groceries,true,1
64,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,EUR,3,Taxi ride,true,1
65,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,45,USD,4,Movie tickets,true,2
66,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,EUR,5,Concert tickets,true,2
67,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,USD,1,Clothing,true,2
68,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,EUR,2,Books,true,2
69,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,USD,3,Lunch at a restaurant,true,1
70,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,EUR,1,Groceries,true,1
71,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,USD,2,Taxi ride,true,1
72,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,25,EUR,3,Movie tickets,true,2
73,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,40,USD,4,Concert tickets,true,2
74,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,EUR,5,Clothing,true,2
75,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,USD,2,Books,true,2
76,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,50,EUR,1,Lunch at a restaurant,true,1
77,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,USD,1,Groceries,true,1
78,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,EUR,2,Taxi ride,true,1
79,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,USD,3,Movie tickets,true,2
80,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,EUR,3,Concert tickets,true,2
81,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,40,USD,4,Clothing,true,2
82,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,25,EUR,5,Books,true,2
83,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,USD,1,Lunch at a restaurant,true,1
84,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,USD,2,Groceries,true,1
85,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,EUR,3,Taxi ride,true,1
86,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,45,USD,4,Movie tickets,true,2
87,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,EUR,5,Concert tickets,true,2
88,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,USD,1,Clothing,true,2
89,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,EUR,2,Books,true,2
90,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,USD,3,Lunch at a restaurant,true,1
91,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,EUR,1,Groceries,true,1
92,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,USD,2,Taxi ride,true,1
93,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,25,EUR,3,Movie tickets,true,2
94,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,40,USD,4,Concert tickets,true,2
95,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,EUR,5,Clothing,true,2
96,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,10,USD,2,Books,true,2
97,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,50,EUR,1,Lunch at a restaurant,true,1
98,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,30,USD,1,Groceries,true,1
99,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,20,EUR,2,Taxi ride,true,1
100,2024-04-28T12:00:00Z,2024-04-28T12:00:00Z,15,USD,3,Movie tickets,true,2
